id,string
rau137,'Rory Freedman and Kim Barnouin'
rau138,'Sarah Dessen'
rau139,'Scott Westerfeld'
rau140,'Simone Elkeles'
rau141,'Sonya Sones'
rau142,'Starhawk'
rau143,'Stephen Clarke'
rau144,'Stephen King under the name of Richard Bachman'
rau145,'Steve Martin'
rau146,'Steven Jay Schneider, general editor'
rau147,'Søren Hansen, Jesper Jensen'
rau148,'T. Colin Campbell, Ph.D. and Thomas M. Campbell II, M.D.'
rau149,'Tana French'
rau150,'Tanuja Desai Hidier'
rau151,'Tenzin Gyatso, 14th Dalai Lama and Howard Cutler'
rau152,'Terry Trueman'
rau153,'The Freedom Writers with Erin Gruwell'
rau154,'Thomas Cathcart and Daniel Klein'
rau155,'Thomas Foster'
rau156,'Thomas M. Reid'
rau157,'Tim LaHaye and Jerry B. Jenkins'
rau158,'Timothy Leary, Ralph Metzner and Richard Alpert'
rau159,'Todd Burpo and Lynn Vincent'
rau160,'Tohru Kai'
rau161,'Tom Clancy'
rau162,'Tom Siddell'
rau163,'Tom Wolfe'
rau164,'Torey L. Hayden'
rau165,'Tori Spelling & Hilary Liftin'
rau166,'Toujou Chika and Shigeru Morita'
rau167,'Trudi Canavan'
rau168,'Unknown'
rau169,'Various'
rau170,'Vladimir Nabokov'
rau171,'W. Chan Kim and Renée Mauborgne'
rau172,'W.E.Burghardt Du Bois'
rau173,'William L. Simon'
rau174,'William Nicholson'
rau175,'William Strunk, Jr. and E.B. White'
rau176,'Yvonne Woon'
rau177,'Zadie Smith'
rau178,'Zizou Corder'
rau179,'edited by August Derleth'
rau180,'edited by Brian M. Sammons and David Conyers'
rau181,'edited by Christopher Tolkien'
rau182,'edited by D. M. Mitchell'
rau183,'edited by Darrell Schweitzer'
rau184,'edited by Edward P. Berglund'
rau185,'edited by Jim Turner'
rau186,'edited by John Pelan and Benjamin Adams'
rau187,'edited by John Sunseri and Thom Brannan'
rau188,'edited by Ramsey Campbell'
rau189,'edited by Robert M. Price'
rau190,'edited by Ross E. Lockhart'
rau191,'edited by Stephen Mark Rainey'
rau192,'edited by Thomas M. K. Stratman'
